CMLB	1	219	8e55d24d70bd86dd
tier	name	lat	lon	detail
1	Mother Teresa Brihanmumbai Mahanagarpalika Udyan	19.082079	72.885026	
1	Anuban	19.039191	72.937434	
1	KELKAR GROUND	19.199780	72.838062	
1	Adarsh garden	19.196131	72.843802	
1	Almeida Park	19.057541	72.831472	
1	Kala Ghoda	18.928458	72.832599	
1	Chor Bazaar	18.959352	72.829914	
1	Gilbert Hill	19.120577	72.839801	
1	Café Zoé	19.000069	72.830283	
1	Mahalaxmi	18.982232	72.823937	
1	Bandstand Promenade	19.051014	72.821384	
1	Sassoon Docks	18.911877	72.826184	
1	Worli Sea Face	19.000912	72.812047	
1	Marine Drive	18.942381	72.823451	
1	Juhu Beach	19.097120	72.826858	
1	Rajabai Clock Tower	18.929654	72.830027	
1	Siddhivinayak Temple	19.016881	72.830396	
1	Mount Mary Church Steps	19.047018	72.824043	
1	Powai Lake Bike Pathways	19.121977	72.906745	
1	Worli Village	19.016916	72.820083	
